id__,country,regio,s3,anni,area,s5,q3ter,q4__4,q4__5,q4__6,q4__7,q4__8,q4__9,q4__10,q5__4,q5__5,q5__6,q5__7,q5__8,q5__9,q5__10,eta,stile,generation,res_acq,freq_past,freq_dol,freq_bis,freq_mer,freq_caf,freq_te,freq_cioc,cam_past,cam_dol,cam_bis,cam_mer,cam_caf,cam_te,cam_cioc
44,Italia,Sardegna,Femmina,30,Sud e Isole,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1/sett,1/mese,1/sett,1/mese,1/sett,2-3/sett,1/sett,Uguale,Poco -,Uguale,Molto -,Uguale,Uguale,Poco -,25-34,Salutisti,Gen Y,L'intervistato,4.0,1.0,4.0,1.0,4.0,10.0,4.0,0,-1,0,-1,0,0,-1
45,Italia,Emilia Romagna,Maschio,20,Nord Est,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",raro,raro,raro,raro,2-3/mese,raro,raro,Uguale,Uguale,Poco -,Uguale,Poco +,Uguale,Uguale,20-24,Esterofili,Gen Z,L'intervistato,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0,0,-1,0,1,0,0
46,Italia,Abruzzo,Maschio,54,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1/sett,1/sett,1/sett,1/sett,1/sett,1/sett,1/sett,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Territorialisti,Gen X,L'intervistato,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0
47,Italia,Calabria,Maschio,23,Sud e Isole,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3/sett,2-3/sett,1/sett,2-3/sett,2-3/sett,2-3/sett,2-3/sett,Poco -,Uguale,Poco +,Poco +,Poco +,Uguale,Poco +,20-24,Territorialisti,Gen Z,L'intervistato,10.0,10.0,4.0,10.0,10.0,10.0,10.0,-1,0,1,1,1,0,1
48,Italia,Veneto,Maschio,24,Nord Est,Principalmente io e occasionalmente altri,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",2-3/sett,2-3/sett,ogni giorno,ogni giorno,ogni giorno,ogni giorno,2-3/sett,Uguale,Uguale,Uguale,Poco +,Molto +,Uguale,Poco +,20-24,Industriariani,Gen Z,Altri,10.0,10.0,30.0,30.0,30.0,30.0,10.0,0,0,0,1,1,0,1
49,Italia,Toscana,Maschio,25,Centro,Solo io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1/sett,1/sett,ogni giorno,2-3/sett,2-3/sett,2-3/sett,ogni giorno,Poco +,Uguale,Uguale,Poco -,Poco -,Poco -,Poco -,25-34,Ristoriani,Gen Z,L'intervistato,4.0,4.0,30.0,10.0,10.0,10.0,30.0,1,0,0,-1,-1,-1,-1
54,Italia,Lazio,Maschio,24,Centro,Io e qualcun altro in egual misura,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",raro,raro,2-3/sett,raro,ogni giorno,raro,raro,Molto -,Molto -,Molto -,Molto -,Uguale,Molto -,Molto -,20-24,Salutisti,Gen Z,L'intervistato,0.0,0.0,10.0,0.0,30.0,0.0,0.0,-1,-1,-1,-1,0,-1,-1
55,Italia,Emilia Romagna,Maschio,23,Nord Est,Principalmente io e occasionalmente altri,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3/mese,raro,2-3/sett,2-3/sett,2-3/sett,1/mese,2-3/sett,Poco -,Poco -,Uguale,Uguale,Uguale,Molto -,Uguale,20-24,Territorialisti,Gen Z,Altri,2.5,0.0,10.0,10.0,10.0,1.0,10.0,-1,-1,0,0,0,-1,0
57,Italia,Campania,Maschio,25,Sud e Isole,Solo io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",raro,2-3/mese,1/sett,1/sett,1/sett,1/sett,2-3/mese,Molto +,Molto +,Molto +,Molto +,Molto +,Molto +,Molto +,25-34,Salubristi,Gen Z,L'intervistato,0.0,2.5,4.0,4.0,4.0,4.0,2.5,1,1,1,1,1,1,1
59,Italia,Sicilia,Maschio,24,Sud e Isole,Solo io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",2-3/mese,raro,1/sett,1/sett,ogni giorno,2-3/mese,2-3/mese,Uguale,Poco -,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Salubristi,Gen Z,L'intervistato,2.5,0.0,4.0,4.0,30.0,2.5,2.5,0,-1,0,0,0,0,0
61,Italia,Veneto,Maschio,23,Nord Est,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",2-3/sett,2-3/sett,2-3/sett,2-3/sett,2-3/sett,2-3/sett,2-3/sett,Poco +,Uguale,Poco +,Uguale,Poco +,Uguale,Poco +,20-24,Salutisti,Gen Z,Altri,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,1,0,1
62,Italia,Piemonte,Maschio,24,Nord Ovest,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3/sett,1/sett,1/sett,1/sett,2-3/sett,1/sett,2-3/sett,Molto +,Poco +,Molto +,Uguale,Poco -,Molto +,Uguale,20-24,Ristoriani,Gen Z,L'intervistato,10.0,4.0,4.0,4.0,10.0,4.0,10.0,1,1,1,0,-1,1,0
63,Italia,Abruzzo,Femmina,68,Sud e Isole,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",2-3/mese,raro,2-3/mese,raro,1/mese,raro,raro,Poco -,Poco -,Poco +,Poco -,Uguale,Molto -,Molto -,65-70,Esterofili,Boomer,L'intervistato,2.5,0.0,2.5,0.0,1.0,0.0,0.0,-1,-1,1,-1,0,-1,-1
64,Italia,Puglia,Maschio,24,Sud e Isole,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",raro,raro,1/mese,1/mese,1/mese,raro,raro,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Salutisti,Gen Z,Altri,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0
65,Italia,Lazio,Femmina,39,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1/mese,raro,1/sett,2-3/mese,1/sett,1/mese,1/mese,Uguale,Uguale,Uguale,Uguale,Poco +,Uguale,Uguale,35-44,Territorialisti,Gen Y,L'intervistato,1.0,0.0,4.0,2.5,4.0,1.0,1.0,0,0,0,0,1,0,0
66,Italia,Campania,Maschio,20,Sud e Isole,Solo io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1/mese,1/sett,1/mese,2-3/sett,2-3/sett,1/sett,1/mese,Poco +,Poco +,Poco +,Poco +,Poco +,Poco +,Poco +,20-24,Ristoriani,Gen Z,L'intervistato,1.0,4.0,1.0,10.0,10.0,4.0,1.0,1,1,1,1,1,1,1
67,Italia,Campania,Maschio,36,Sud e Isole,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",ogni giorno,2-3/mese,1/mese,raro,ogni giorno,1/mese,raro,Molto +,Molto -,Molto -,Uguale,Molto -,Poco +,Molto +,35-44,Salutisti,Gen Y,Altri,30.0,2.5,1.0,0.0,30.0,1.0,0.0,1,-1,-1,0,-1,1,1
68,Italia,Sicilia,Maschio,24,Sud e Isole,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1/sett,2-3/sett,2-3/sett,2-3/sett,1/sett,1/sett,2-3/sett,Poco +,Molto +,Molto +,Poco +,Poco +,Molto +,Molto +,20-24,Esterofili,Gen Z,L'intervistato,4.0,10.0,10.0,10.0,4.0,4.0,10.0,1,1,1,1,1,1,1
69,Italia,Campania,Maschio,22,Sud e Isole,Io e qualcun altro in egual misura,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",ogni giorno,ogni giorno,ogni giorno,ogni giorno,2-3/sett,2-3/sett,ogni giorno,Poco -,Poco +,Poco +,Uguale,Molto +,Molto +,Poco +,20-24,Ristoriani,Gen Z,L'intervistato,30.0,30.0,30.0,30.0,10.0,10.0,30.0,-1,1,1,0,1,1,1
70,Italia,Piemonte,Maschio,21,Nord Ovest,Solo altri membri della famiglia,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3/sett,2-3/sett,1/sett,2-3/sett,1/sett,1/mese,2-3/sett,Uguale,Poco +,Molto +,Molto +,Molto -,Molto +,Poco +,20-24,Ristoriani,Gen Z,Altri,10.0,10.0,4.0,10.0,4.0,1.0,10.0,0,1,1,1,-1,1,1
72,Italia,Umbria,Maschio,22,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3/mese,2-3/sett,2-3/sett,2-3/mese,1/sett,2-3/mese,ogni giorno,Molto +,Poco +,Poco +,Uguale,Uguale,Uguale,Uguale,20-24,Territorialisti,Gen Z,L'intervistato,2.5,10.0,10.0,2.5,4.0,2.5,30.0,1,1,1,0,0,0,0
73,Italia,Campania,Maschio,43,Sud e Isole,Io e qualcun altro in egual misura,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,2-3/sett,2-3/sett,1/sett,2-3/sett,1/sett,1/sett,1/sett,Poco +,Molto +,Molto +,Molto +,Molto +,Poco +,Poco +,35-44,Eticisti,Gen X,L'intervistato,10.0,10.0,4.0,10.0,4.0,4.0,4.0,1,1,1,1,1,1,1
74,Italia,Toscana,Femmina,57,Centro,Solo io,Nessuno di questi,2-3/mese,raro,2-3/mese,2-3/mese,2-3/mese,2-3/mese,2-3/mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Nessuno di questi,Gen X,L'intervistato,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0
75,Italia,Veneto,Maschio,22,Nord Est,Principalmente io e occasionalmente altri,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",1/sett,1/sett,1/sett,1/sett,1/sett,1/sett,1/sett,Poco -,Poco -,Molto +,Poco +,Molto -,Uguale,Molto -,20-24,Industriariani,Gen Z,Altri,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1,-1,1,1,-1,0,-1
76,Italia,Emilia Romagna,Maschio,21,Nord Est,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3/mese,1/mese,2-3/sett,1/sett,1/sett,ogni giorno,1/sett,Poco +,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Territorialisti,Gen Z,L'intervistato,2.5,1.0,10.0,4.0,4.0,30.0,4.0,1,0,0,0,0,0,0
77,Italia,Toscana,Maschio,26,Centro,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",ogni giorno,2-3/sett,2-3/sett,1/sett,2-3/sett,2-3/sett,1/sett,Poco +,Poco +,Uguale,Uguale,Poco +,Molto +,Uguale,25-34,Ristoriani,Gen Z,L'intervistato,30.0,10.0,10.0,4.0,10.0,10.0,4.0,1,1,0,0,1,1,0
79,Italia,Marche,Maschio,24,Centro,Principalmente io e occasionalmente altri,"ESSENZIALISTI: vedono il cibo come una necessità, mangiano essenzialmente per nutrirsi e per saziarsi, è sufficiente che",1/sett,1/sett,1/sett,1/sett,ogni giorno,2-3/sett,2-3/sett,Uguale,Uguale,Poco +,Uguale,Uguale,Uguale,Molto +,20-24,Essenzialisti,Gen Z,Altri,4.0,4.0,4.0,4.0,30.0,10.0,10.0,0,0,1,0,0,0,1
80,Italia,Emilia Romagna,Maschio,25,Nord Est,Io e qualcun altro in egual misura,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1/sett,1/sett,2-3/sett,2-3/mese,2-3/mese,2-3/mese,1/sett,Molto +,Molto +,Poco +,Poco +,Poco -,Uguale,Poco +,25-34,Ristoriani,Gen Z,L'intervistato,4.0,4.0,10.0,2.5,2.5,2.5,4.0,1,1,1,1,-1,0,1
81,Italia,Puglia,Maschio,23,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1/mese,2-3/sett,1/sett,2-3/sett,1/mese,1/sett,2-3/mese,Poco +,Poco +,Poco +,Poco -,Poco +,Uguale,Molto +,20-24,Territorialisti,Gen Z,L'intervistato,1.0,10.0,4.0,10.0,1.0,4.0,2.5,1,1,1,-1,1,0,1
82,Italia,Calabria,Femmina,23,Sud e Isole,Soprattutto io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",1/sett,2-3/sett,2-3/sett,1/sett,1/sett,2-3/sett,2-3/sett,Molto -,Molto +,Poco +,Uguale,Molto -,Uguale,Molto +,20-24,Industriariani,Gen Z,L'intervistato,4.0,10.0,10.0,4.0,4.0,10.0,10.0,-1,1,1,0,-1,0,1
83,Italia,Marche,Maschio,24,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",raro,raro,raro,2-3/mese,raro,2-3/sett,2-3/sett,Molto -,Molto +,Molto -,Poco +,Molto -,Poco -,Poco -,20-24,Territorialisti,Gen Z,L'intervistato,0.0,0.0,0.0,2.5,0.0,10.0,10.0,-1,1,-1,1,-1,-1,-1
84,Italia,Campania,Maschio,24,Sud e Isole,Io e qualcun altro in egual misura,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1/sett,1/sett,2-3/mese,1/mese,1/mese,2-3/mese,2-3/mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Esterofili,Gen Z,L'intervistato,4.0,4.0,2.5,1.0,1.0,2.5,2.5,0,0,0,0,0,0,0
86,Italia,Abruzzo,Maschio,21,Sud e Isole,Soprattutto altri membri della famiglia,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1/sett,ogni giorno,1/sett,1/sett,2-3/sett,1/sett,1/sett,Molto -,Poco -,Poco +,Molto -,Uguale,Molto +,Uguale,20-24,Salutisti,Gen Z,Altri,4.0,30.0,4.0,4.0,10.0,4.0,4.0,-1,-1,1,-1,0,1,0
87,Italia,Puglia,Maschio,22,Sud e Isole,Solo io,ESTETIZZANTI: Amano consumare portate appariscenti da condividere con la loro cerchia e sui social. Utilizzano il cibo p,raro,raro,2-3/mese,1/mese,2-3/mese,1/mese,1/mese,Uguale,Poco +,Poco +,Uguale,Uguale,Molto +,Poco +,20-24,Estetizzanti,Gen Z,L'intervistato,0.0,0.0,2.5,1.0,2.5,1.0,1.0,0,1,1,0,0,1,1
88,Italia,Lazio,Maschio,22,Centro,Soprattutto altri membri della famiglia,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3/sett,ogni giorno,2-3/sett,2-3/sett,2-3/sett,2-3/sett,2-3/sett,Molto +,Molto +,Poco +,Molto +,Poco +,Poco +,Molto +,20-24,Ristoriani,Gen Z,Altri,10.0,30.0,10.0,10.0,10.0,10.0,10.0,1,1,1,1,1,1,1
89,Italia,Sicilia,Maschio,33,Sud e Isole,Principalmente io e occasionalmente altri,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",2-3/sett,1/sett,1/sett,2-3/sett,2-3/sett,1/sett,1/sett,Uguale,Uguale,Poco +,Poco -,Uguale,Poco +,Poco +,25-34,Esterofili,Gen Y,Altri,10.0,4.0,4.0,10.0,10.0,4.0,4.0,0,0,1,-1,0,1,1
90,Italia,Calabria,Maschio,21,Sud e Isole,Io e qualcun altro in egual misura,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",raro,2-3/mese,2-3/mese,1/mese,1/sett,raro,1/mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Edonisti,Gen Z,L'intervistato,0.0,2.5,2.5,1.0,4.0,0.0,1.0,0,0,0,0,0,0,0
91,Italia,Trentino Alto Adige,Maschio,23,Nord Est,Principalmente io e occasionalmente altri,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,2-3/sett,2-3/sett,2-3/sett,2-3/mese,ogni giorno,2-3/sett,1/mese,Molto -,Poco +,Molto -,Molto -,Uguale,Poco +,Poco +,20-24,Eticisti,Gen Z,Altri,10.0,10.0,10.0,2.5,30.0,10.0,1.0,-1,1,-1,-1,0,1,1
92,Italia,Sardegna,Maschio,63,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3/mese,1/mese,2-3/sett,2-3/mese,2-3/sett,1/sett,1/mese,Poco +,Poco +,Uguale,Poco +,Poco +,Poco +,Poco +,55-64,Territorialisti,Boomer,L'intervistato,2.5,1.0,10.0,2.5,10.0,4.0,1.0,1,1,0,1,1,1,1
93,Italia,Lombardia,Femmina,70,Nord Ovest,Io e qualcun altro in egual misura,Nessuno di questi,raro,raro,1/sett,raro,1/sett,1/sett,raro,Molto -,Uguale,Uguale,Uguale,Uguale,Uguale,Molto -,65-70,Nessuno di questi,Boomer,L'intervistato,0.0,0.0,4.0,0.0,4.0,4.0,0.0,-1,0,0,0,0,0,-1
95,Italia,Liguria,Maschio,67,Nord Ovest,Soprattutto io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",raro,raro,2-3/sett,raro,ogni giorno,2-3/sett,2-3/sett,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Localivori,Boomer,L'intervistato,0.0,0.0,10.0,0.0,30.0,10.0,10.0,0,0,0,0,0,0,0
96,Italia,Lombardia,Maschio,69,Nord Ovest,Soprattutto io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",2-3/mese,1/mese,1/sett,raro,ogni giorno,ogni giorno,1/mese,Uguale,Poco -,Uguale,Poco -,Uguale,Uguale,Uguale,65-70,Salubristi,Boomer,L'intervistato,2.5,1.0,4.0,0.0,30.0,30.0,1.0,0,-1,0,-1,0,0,0
97,Italia,Sardegna,Femmina,65,Sud e Isole,Soprattutto io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",raro,raro,2-3/mese,raro,1/mese,raro,1/mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Localivori,Boomer,L'intervistato,0.0,0.0,2.5,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0
98,Italia,Veneto,Femmina,65,Nord Est,Principalmente io e occasionalmente altri,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1/mese,raro,1/sett,raro,1/sett,1/sett,2-3/mese,Molto -,Uguale,Uguale,Molto -,Poco +,Uguale,Uguale,65-70,Territorialisti,Boomer,Altri,1.0,0.0,4.0,0.0,4.0,4.0,2.5,-1,0,0,-1,1,0,0
99,Italia,Friuli Venezia Giulia,Maschio,65,Nord Est,Io e qualcun altro in egual misura,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",1/sett,raro,2-3/mese,raro,1/mese,1/mese,1/mese,Uguale,Poco -,Uguale,Poco -,Uguale,Uguale,Uguale,65-70,Edonisti,Boomer,L'intervistato,4.0,0.0,2.5,0.0,1.0,1.0,1.0,0,-1,0,-1,0,0,0
100,Italia,Puglia,Femmina,67,Sud e Isole,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",2-3/mese,raro,1/sett,1/sett,2-3/mese,1/sett,1/sett,Molto -,Uguale,Poco -,Uguale,Poco -,Molto -,Poco -,65-70,Industriariani,Boomer,L'intervistato,2.5,0.0,4.0,4.0,2.5,4.0,4.0,-1,0,-1,0,-1,-1,-1
101,Italia,Lombardia,Maschio,68,Nord Ovest,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",raro,raro,1/mese,raro,1/mese,1/mese,raro,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Territorialisti,Boomer,L'intervistato,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0
104,Italia,Veneto,Maschio,67,Nord Est,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",raro,raro,1/sett,raro,2-3/mese,1/mese,1/sett,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Territorialisti,Boomer,L'intervistato,0.0,0.0,4.0,0.0,2.5,1.0,4.0,0,0,0,0,0,0,0
105,Italia,Lombardia,Maschio,66,Nord Ovest,Soprattutto io,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",1/mese,raro,1/sett,1/sett,1/mese,1/mese,1/mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Edonisti,Boomer,L'intervistato,1.0,0.0,4.0,4.0,1.0,1.0,1.0,0,0,0,0,0,0,0
